"Nomor,""Bab"",""Matan.""";;;;;;;;;;;;;
"23,""Thoharoh"",""Aku pernah naik ke atap rumah kami, lalu aku melihat Rasulullah Shallallahu'alaihi wasallam sedang buang hajat diatas dua batu bata dalam keadaan menghadap arah Baitul Maqdis.""";;;;;;;;;;;;;
"24,""Thoharoh"",""Apabila salah seorang dari kalian buang air kecil, jangan menyentuh kemaluannya dengan tangan kanannya""";;;;;;;;;;;;;
"25,""Thoharoh"",""Apabila salah seorang dari kalian buang air kecil, jangan menyentuh kemaluannya dengan tangan kanannya""";;;;;;;;;;;;;
"26,""Thoharoh"",""Rasulullah Shallallahu'alaihi wasallam pernah mendatangi tempat pembuangan sampah suatu kaum, lalu ia buang air kecil dengan berdiri.""";;;;;;;;;;;;;
"27,""Thoharoh"",""pernah mendatangi tempat pembuangan sampah suatu kaum, lalu ia buang air kecil dengan berdiri""";;;;;;;;;;;;;
"28,""Thoharoh"",""pernah berjalan menuju tempat pembuangan sampah suatu kaum, lalu ia buang air kecil dengan berdiri. Sulaiman berkata dalam  hadisnya";" dan Beliau mengusap""";;;;;;;;;;;;
"29,""Thoharoh"",""tidak buang air kecil kecuali sambil duduk""";;;;;;;;;;;;;
"30,""Thoharoh"",""Rasulullah Shallallahu'alaihi wasallam pernah menemui kami, dan ditangan beliau ada sesuatu yang mirip perisai dari kulit. Beliau lalu meletakkannya""";;;;;;;;;;;;;
"31,""Thoharoh"",""Kedua penghuni kubur ini disiksa dan keduanya disiksa bukan karena dosa besar. Yang satu ini, dulu tidak membersihkan air kencingnya""";;;;;;;;;;;;;
"32,""Thoharoh"",""Rasulullah Shallallahu'alaihi wasallam mempunyai bejana dari kayu kurma yang digunakan untuk buang air kecil. Beliau menaruhnya dibawah tempat tidur""";;;;;;;;;;;;;
"33,""Thoharoh"",""Orang-orang berkata, 'Rasulullah Shallallahu'alaihi wasallam mewasiatkan kepada Ali. Beliau meminta sebuah baskom yang beliau pergunakan untuk buang air kecil""";;;;;;;;;;;;;
"34,""Thoharoh"",""Jangan sekali-kali salah seorang diantara kalian buang air kecil di lubang. Mereka bertanya kepada Qatadah, kenapa di larang""";;;;;;;;;;;;;
"35,""Thoharoh"",""beliau melarang buang air kecil didalam air yang tergenang (tidak mengalir)""";;;;;;;;;;;;;
"36,""Thoharoh"",""Jangan kalian buang air kecil di tempat pemandian, karena kebanyakan rasa was-was itu berasal darinya""";;;;;;;;;;;;;
"37,""Thoharoh"",""Seorang laki-laki melewati Rasulullah Shallallahu'alaihi wasallam,  dan beliau sedang buang air kecil. Orang itu lalu mengucapkan salam kepada beliau, namun beliau tidak menjawabnya""";;;;;;;;;;;;;
"38,""Thoharoh"",""Ia pernah memberi salam kepada Rasulullah Shallallahu'alaihi wasallam ketika ia sedang buang air kecil, dan Rasulullah Shallallahu'alaihi wasallam tidak membalas salamnya. Setelah berwudhu beliau membalas salamnya""";;;;;;;;;;;;;
"39,""Thoharoh"",""melarang bersuci dengan tulang atau kotoran hewan""";;;;;;;;;;;;;
"40,""Thoharoh"",""apabila kalian hendak pergi ke WC janganlah menghadap kiblat dan jangan membelakanginya""";;;;;;;;;;;;;
"41,""Thoharoh"",""melarang kami menghadap kiblat sewaktu buang air besar air besar atau buang air kecil, atau bersuci dengan tangan kanan""";;;;;;;;;;;;;
"42,""Thoharoh"",""Rasulullah Shallallahu'alaihi wasallam pergi untuk buang air besar, lalu beliau menyuruhku membawa tiga batu. Tetapi aku hanya mendapatkan""";;;;;;;;;;;;;
"43,""Thoharoh"",""Bila kamu bersuci dengan batu, maka gunakan dengan -jumlah batu- yang ganjil""";;;;;;;;;;;;;
"44,""Thoharoh"",""Bila salah seorang dari kalian pergi ke WC, maka bawalah tiga buah batu""";;;;;;;;;;;;;
"45,""Thoharoh"",""Bila Rasulullah Shallallahu'alaihi wasallam masuk WC, maka aku dan seorang anak sebayaku membawakan seember air""";;;;;;;;;;;;;
"46,""Thoharoh"",""Perintahkan suami-suami kalian bersuci dengan air, karena aku malu untuk mengatakan kepada mereka""";;;;;;;;;;;;;
"47,""Thoharoh"",""Apabila salah seorang dari kalian minum, maka jangan bernafas di dalam tempat air tersebut. Bila kalian pergi ke WC""";;;;;;;;;;;;;
"48,""Thoharoh"",""melarang (seseorang) bernafas ditempat air minum, menyentuh kemaluan dengan tangan kanannya, dan""";;;;;;;;;;;;;
"49,""Thoharoh"",""(Rasulullah Shallallahu'alaihi wasallam) mengajarimu cara buang hajat! 'Aku menjawab, Ya, beliau melarang kami bersuci dengan tangan kanan dan menghadap kiblat. Dan""";;;;;;;;;;;;;
"50,""Thoharoh"",""berwudhu, setelah bersuci dari buang air beliau menggosok tangannya dengan tanah""";;;;;;;;;;;;;
"51,""Thoharoh"",""beliau bersuci dengan air tersebut. Setelah itu beliau menggosok tangannya dengan tanah. Abu Abdurrahman berkata";"  Kebenaran  hadis  ini mirip""";;;;;;;;;;;;
"52,""Thoharoh"",""Bila air itu lebih dari dua qulah maka tidak mengandung najis""";;;;;;;;;;;;;
"53,""Thoharoh"",""Biarkan dia, jangan kamu putus hajatnya. Setelah dia selesai buang hajatnya, Rasulullah Shallallahu'alaihi wasallam meminta seember air lalu menyiramkannya. Abu Abdurrahman berkata";"  Maksudnya""";;;;;;;;;;;;
"54,""Thoharoh"",""lalu Rasulullah Shallallahu'alaihi wasallam menyuruh untuk mengambil seember air dan disiramkannya""";;;;;;;;;;;;;
"55,""Thoharoh"",""Biarkanlah'. Dia pun dibiarkan hingga selesai hajatnya. Lalu Rasulullah Shallallahu'alaihi wasallam menyuruh untuk dibawakan seember air yang selanjutnya disiramkannya""";;;;;;;;;;;;;
"56,""Thoharoh"",""Biarkan. Siramkan seember air pada air kencingnya. Kalian diutus untuk memudahkan""";;;;;;;;;;;;;
"57,""Thoharoh"",""Janganlah sekali-kali kalian buang air kecil pada air yang tergenang, lalu berwudhu dari air itu. 'Auf""";;;;;;;;;;;;;
"58,""Thoharoh"",""Jangan kalian buang air kecil pada air yang tergenang, lalu mandi dari air itu. Abu Abdurrahman berkata";" Ya'qub""";;;;;;;;;;;;
"59,""Thoharoh"",""Laut itu suci airnya, halal bangkainya""";;;;;;;;;;;;;
"60,""Thoharoh"",""Ya Allah, jauhkan antara aku dan kesalahanku sebagaimana Engkau jauhkan antara timur""";;;;;;;;;;;;;
"61,""Thoharoh"",""Ya Allah, bersihkanlah kesalahanku dengan air salju (es) dan air embun, dan sucikan (bersihkan) hatiku dari""";;;;;;;;;;;;;
"62,""Thoharoh"",""Ya Allah, ampuni dia dan kasih sayangilah dia. Berilah keselamatan, Maafkan dan muliakan tempatnya""";;;;;;;;;;;;;
"63,""Thoharoh"",""Apabila ada anjing yang minum dari  bejana salah seorang dari kalian, hendaknya ia mencucinya tujuh kali""";;;;;;;;;;;;;
"64,""Thoharoh"",""Apabila ada seekor anjing yang menjilati bejana salah seorang dari kalian, hendaknya ia mencucinya tujuh kali""";;;;;;;;;;;;;
"65,""Thoharoh"",""Apabila ada seekor anjing  menjilati bejana milik salah seorang dari kalian, hendaknya ia menumpahkan -isinya- kemudian mencucinya tujuh kali""";;;;;;;;;;;;;
"66,""Thoharoh"",""memerintahkan untuk membunuh anjing dan memberi rukhsah (keringanan) pada anjing yang dipakai untuk berburu serta menjaga kambing. Beliau kemudian bersabda, Apabila""";;;;;;;;;;;;;
"67,""Thoharoh"",""Kucing itu tidak najis. Kucing itu termasuk hewan yang ada di sekeliling kalian""";;;;;;;;;;;;;
"68,""Thoharoh"",""Allah dan Rasul-Nya melarang kalian -memakan- daging keledai, karena ia najis""";;;;;;;;;;;;;
"69,""Thoharoh"",""Aku pernah menggigit sepotong daging yang bertulang, lalu Rasulullah Shallallahu'alaihi wasallam meletakkan mulutnya ditempat bekas mulutku""";;;;;;;;;;;;;
"70,""Thoharoh"",""Pada zaman Rasulullah Shallallahu'alaihi wasallam laki-laki dan perempuan wudhu bersama-sama""";;;;;;;;;;;;;
"71,""Thoharoh"",""dirinya pernah mandi bersama Rasulullah Shallallahu'alaihi wasallam dalam satu bejana""";;;;;;;;;;;;;
"72,""Thoharoh"",""berwudhu dengan menggunakan satu makkuk, dan bila mandi maka beliau menggunakan lima makkuk""";;;;;;;;;;;;;
"73,""Thoharoh"",""berwudhu maka dibawakan air di dalam bejana sekitar dua pertiga mud. Syu'bah berkata";"  Yang aku ingat""";;;;;;;;;;;;
"74,""Thoharoh"",""Semua perbuatan tergantung niat, dan (balasan) bagi tiap orang (tergantung) yang diniati, barangsiapa""";;;;;;;;;;;;;
"75,""Thoharoh"",""meletakkan tangannya kedalam bejana tersebut. Beliau kemudian memerintahkan orang-orang untuk berwudhu. Aku melihat""";;;;;;;;;;;;;
"76,""Thoharoh"",""dibawakan kepada beliau sebuah bejana kecil. Beliau memasukkan tangannya kedalam bejana tersebut. Setelah itu aku melihat air memancar dari celah-celah""";;;;;;;;;;;;;
"77,""Thoharoh"",""meletakkan tangannya kedalam bejana dan berkata, 'Berwudhulah dengan mengucapkan bismillah'. Setelah itu aku melihat air""";;;;;;;;;;;;;
"78,""Thoharoh"",""beliau mengusap kedua sepatunya. Abu Abdurrahman berkata";" Malik tidak menyebutkan Urwah bin Al Mughirah""";;;;;;;;;;;;
"79,""Thoharoh"",""berwudhu satu kali-satu kali (untuk tiap anggota wudhu)""";;;;;;;;;;;;;
"80,""Thoharoh"",""berwudhu tiga kali-tiga kali. Dia menyandarkan hal itu kepada Rasulullah Shallallahu'alaihi wasallam""";;;;;;;;;;;;;
"81,""Thoharoh"",""membasuh kedua tangannya dan wajahnya, dan kedua sikunya. Beliau memakai jubah dari Syam""";;;;;;;;;;;;;
"82,""Thoharoh"",""membasuh telapak tangan tiga kali""";;;;;;;;;;;;;
"83,""Thoharoh"",""berwudhu";" dia menuangkan air ke dua tangannya tiga kali, lalu membasuhnya, kemudian berkumur dan memasukkan air kedalam hidung""";;;;;;;;;;;;
"84,""Thoharoh"",""meminta air wudhu. Lalu dituangkanlah kepada kedua tangannya dari bejananya, maka beliau membasuh kedua tangannya tiga kali""";;;;;;;;;;;;;
"85,""Thoharoh"",""Apabila salah seorang dari kalian berwudhu, hendaknya menghisap air ke dalam hidung, lalu mengeluarkannya (kembali)""";;;;;;;;;;;;;
"86,""Thoharoh"",""Sempurnakanlah wudhu dan sungguh-sungguhlah dalam menghisap air ke dalam hidung, kecuali saat puasa""";;;;;;;;;;;;;
"87,""Thoharoh"",""Barangsiapa berwudhu, hendaklah ia memasukkan ke dalam hidung dan mengeluarkannya. Barangsiapa bersuci dengan batu, hendaklah melakukannya dengan jumlah ganjil""";;;;;;;;;;;;;
"88,""Thoharoh"",""Apabila kamu berwudhu, tolong  masukkan air ke hidung, lalu keluarkanlah. Bila kamu bersuci dengan batu,  gunakan dengan jumlah ganjil""";;;;;;;;;;;;;
"89,""Thoharoh"",""Apabila salah seorang dari kalian bangun dari tidurnya, lalu berwudhu, hendaklah ia menghirup air ke hidung lalu mengeluarkannya kembali sebanyak tiga kali""";;;;;;;;;;;;;
"90,""Thoharoh"",""meminta air wudhu. Dia lalu berkumur dan menghirup air kedalam hidung kemudian mengeluarkannya dengan tangan kirinya";" dia melakukannya""";;;;;;;;;;;;
"91,""Thoharoh"",""lalu ia menuangkan air ke  tangannya, lalu membasuhnya tiga kali, berkumur dan menghisap air kedalam hidung""";;;;;;;;;;;;;
"92,""Thoharoh"",""meminta bejana kecil berisi air, ia tuangkan ke telapak tangannya tiga kali kemudian berkumur tiga kali dan menghisapnya ke dalam hidung""";;;;;;;;;;;;;
"93,""Thoharoh"",""meminta air dalam bejana kecil. Ia lalu membasuh kedua tangannya, berkumur tiga kali dan menghisap air ke dalam hidung""";;;;;;;;;;;;;
"94,""Thoharoh"",""mulai membasuh kedua telapak tangannya tiga kali-sebelum memulai acara wudhunya""";;;;;;;;;;;;;
"95,""Thoharoh"",""berwudhu";" ia membasuh kedua telapak tangannya hingga beliau mencucinya, kemudian berkumur tiga kali dan memasukkan air kedalam hidungnya""";;;;;;;;;;;;
"96,""Thoharoh"",""meminta air wudhu, kemudian menuangkan air kedua tangannya dan membasuhnya dua kali-dua kali""";;;;;;;;;;;;;
"97,""Thoharoh"",""meminta air wudhu. Ia menuangkannya ke kedua tangannya dan membasuhnya  dua kali""";;;;;;;;;;;;;
"98,""Thoharoh"",""berwudhu, maka beliau membasuh wajahnya tiga kali, kedua tangannya dua kali, kedua kakinya dua kali""";;;;;;;;;;;;;
"99,""Thoharoh"",""dia berkumur dan menghirup air ke hidung dan mengeluarkannya kembali tiga kali, membasuh mukanya tiga kali, membasuh""";;;;;;;;;;;;;
"100,""Thoharoh"",""berwudhu. Beliau membasuh kedua tangannya, kemudian berkumur-kumur dan memasukan air ke hidung dari satu cidukan (mengambil air dari telapak tangan)""";;;;;;;;;;;;;
"101,""Thoharoh"",""Rasulullah Shallallahu'alaihi wasallam berwudlu, beliau menyiduk satu ciduk air untuk berkumur, dan memasukan air ke hidungnya, kemudian menyiduk""";;;;;;;;;;;;;
"102,""Thoharoh"",""Apabila seorang hamba yang beriman berwudlu lalu ia berkumur-kumur, maka keluarlah kesalahan mulutnya (maksudnya kesalahan yang diperbuat oleh mulutnya)""";;;;;;;;;;;;;
"103,""Thoharoh"",""mengusap kedua sepatunya (khuff)""";;;;;;;;;;;;;
"104,""Thoharoh"",""mengusap kedua khuffnya (sepatunya)""";;;;;;;;;;;;;
"105,""Thoharoh"",""mengusap serban dan kedua khuffnya (sepatunya)""";;;;;;;;;;;;;
"106,""Thoharoh"",""berwudlu, lalu beliau mengusap ubun-ubunnya, serbannya dan kedua sepatunya. Bakar berkata";" Saya telah mendengarnya""";;;;;;;;;;;;
"107,""Thoharoh"",""membasuh kedua tangannya dan membasuh mukanya. Kemudian beliau ingin membuka kedua lengan bajunya. Namun karena lengan bajunya terlalu sempit maka beliau menyingsingkannya diatas kedua pundaknya""";;;;;;;;;;;;;
"108,""Thoharoh"",""datang dan beliau berwudlu dan mengusap bagian depan kepalanya (ubun-ubun) serta kedua sisi serbannya, juga mengusap kedua sepatunnya""";;;;;;;;;;;;;
"109,""Thoharoh"",""Celakalah tumit-tumit yang tak tersentuh air wudlu dari api neraka""";;;;;;;;;;;;;
"110,""Thoharoh"",""Celakalah tumit-tumit yang tak tersentuh air wudlu dari api neraka. Sempurnakanlah wudlu kalian""";;;;;;;;;;;;;
"111,""Thoharoh"",""mencintai tayamun (mendahulukan yang sebelah kanan) semampunya dalam bersuci, memakai sandal, serta menyisir rambutnya. Syu'bah""";;;;;;;;;;;;;
"112,""Thoharoh"",""(kata Alqaisi)";" lalu diberikan kepada Beliau air dalam bejana, Beliau mencuci kedua tangannya satu kali,  membasuh muka dan kedua lengannya""";;;;;;;;;;;;
"113,""Thoharoh"",""Apabila kamu wudlu, sempurnakan wudlumu dan bersihkan celah-celah jari-jemari""";;;;;;;;;;;;;
"114,""Thoharoh"",""Saya melihat Ali berwudlu, dia mencuci kedua telapak tangannya tiga kali, berkumur-kumur dan memasukkan air ke hidung""";;;;;;;;;;;;;
"115,""Thoharoh"",""meminta air Wudlu dan dipakai untuk berwudlu. Dia mencuci kedua telapak tangannya tiga kali, berkumur, dan memasukan air ke hidung""";;;;;;;;;;;;;
"116,""Thoharoh"",""Aku melihat Rasulullah Shallallahu'alaihi wasallam berwudlu dengan mengenakannya""";;;;;;;;;;;;;
"117,""Thoharoh"",""berwudlu dan mengusap kedua sepatunya. Lalu dia ditanya, Apakah kamu mengusapnya? dia menjawab, Aku melihat""";;;;;;;;;;;;;
"118,""Thoharoh"",""berwudlu dan mengusap kedua sepatunya (Khuff)""";;;;;;;;;;;;;
"119,""Thoharoh"",""pergi untuk buang hajat, kemudian berwudlu. Beliau membasuh muka dan kedua tangannya, lalu mengusap""";;;;;;;;;;;;;
"120,""Thoharoh"",""bahwa beliau Shallallahu'alaihi wasallam mengusap kedua sepatunya""";;;;;;;;;;;;;
"121,""Thoharoh"",""tentang mengusap kedua sepatu-hal itu tidak apa-apa""";;;;;;;;;;;;;
"122,""Thoharoh"",""membasuh kedua tangannya, membasuh mukanya, kemudian membasuh kedua lengannya namun selempangnya terlalu sempit""";;;;;;;;;;;;;
"123,""Thoharoh"",""berwudlu dan mengusap kedua khuffnya (sepatunya)""";;;;;;;;;;;;;
"124,""Thoharoh"",""membasuh wajah dan kedua tangannya, mengusap kepalanya, dan mengusap kedua khuffnya (sepatunya)""";;;;;;;;;;;;;
"125,""Thoharoh"",""mengusap kedua kaos kakinya dan kedua sandalnya.  Abdurrahman  berkata";" kami tidak mengetahui seorangpun yang mengikuti Abu Qais""";;;;;;;;;;;;
"126,""Thoharoh"",""Rasulullah Shallallahu'alaihi wasallam memberi keringanan kepada kami bila dalam perjalanan, untuk tidak melepas khuff (sepatu-sepatu) kami selama tiga hari tiga malam""";;;;;;;;;;;;;
"127,""Thoharoh"",""Bila kami dalam perjalanan, maka Rasulullah Shallallahu'alaihi wasallam memerintahkan kami mengusap sepatu kami, dan tidak melepasnya""";;;;;;;;;;;;;
"128,""Thoharoh"",""Rasulullah Shallallahu'alaihi wasallam menentukan tiga hari tiga malam bagi musafir""";;;;;;;;;;;;;
"129,""Thoharoh"",""memerintahkan kami agar orang yang bermukim mengusap sepatunya selama sehari semalam dan bagi yang musafir selama tiga hari tiga malam""";;;;;;;;;;;;;
"130,""Thoharoh"",""dibawakanlah kepadanya seember air, maka beliau mengambilnya dengan telapak tangannya dan mengusap wajahnya, kedua lengannya""";;;;;;;;;;;;;
"131,""Thoharoh"",""pernah dibawakan bejana kecil untuk berwudlu. Aku bertanya, Apakah Rasulullah Shallallahu'alaihi wasallam berwudlu pada setiap""";;;;;;;;;;;;;
"132,""Thoharoh"",""Aku hanya di perintahkan untuk berwudlu bila hendak menegakkan shalat""";;;;;;;;;;;;;
"133,""Thoharoh"",""berwudlu bila hendak shalat, tetapi setelah peristiwa penaklukan kota Makkah beliau mengerjakan beberapa shalat dengan satu kali wudlu""";;;;;;;;;;;;;
"134,""Thoharoh"",""apabila Rasulullah Shallallahu'alaihi wasallam berwudlu maka beliau mengambil air sepenuh kedua telapak tangan -lalu Syu'bah perawi mengatakan bahwa beliau memercikan""";;;;;;;;;;;;;
"135,""Thoharoh"",""berwudlu dan memercikan air ke kemaluannya. Ahmad berkata dengan redaksi: Maka beliau memercikan air ke kemaluannya""";;;;;;;;;;;;;
"136,""Thoharoh"",""berwudlu tiga kali - tiga kali, kemudian berdiri dan meminum air sisa wudlunya, dan berkata";" Rasulullah Shallallahu'alaihi wasallam melakukan""";;;;;;;;;;;;
"137,""Thoharoh"",""shalat bersama orang-orang, sedangkan banyak anjing, keledai dan perempuan yang lewat di depan tombak tadi""";;;;;;;;;;;;;
"138,""Thoharoh"",""Aku sakit'. Kemudian Rasulullah Shallallahu'alaihi wasallam dan Abu Bakar datang menjengukku dan keduanya mendapati diriku""";;;;;;;;;;;;;
"139,""Thoharoh"",""Allah tidak menerima shalat tanpa bersuci, juga sedekah dari harta rampasan perang yang diambil secara sembunyi-sembunyi sebelum dibagikan""";;;;;;;;;;;;;
"140,""Thoharoh"",""memperlihatkan kepadanya cara berwudlu yang semuanya tiga kali - tiga kali. Kemudian Beliau bersabda, 'Beginilah cara berwudlu'. Barang siapa menambah""";;;;;;;;;;;;;
"141,""Thoharoh"",""Rasulullah Shallallahu'alaihi wasallam memerintahkan kita untuk menyempurnakan wudlu, tidak makan sedekah, dan tidak mengawinkan keledai dengan kuda""";;;;;;;;;;;;;
"142,""Thoharoh"",""Sempurnakanlah wudlu'""";;;;;;;;;;;;;
"143,""Thoharoh"",""Maukah kalian kukabarkan tentang hal-hal yang membuat Allah menghapus kesalahan serta mengangkat derajat kalian?""";;;;;;;;;;;;;
"144,""Thoharoh"",""Barangsiapa berwudlu sebagaimana diperintahkan, maka dosa-dosanya yang lalu diampuni""";;;;;;;;;;;;;
"145,""Thoharoh"",""Barangsiapa menyempurnakan wudlu sebagaimana yang diperintahkan Allah, salat lima waktu""";;;;;;;;;;;;;
"146,""Thoharoh"",""Tidaklah seseorang berwudlu lalu memperbaiki wudlunya kemudian shalat, melainkan""";;;;;;;;;;;;;
"147,""Thoharoh"",""apabila kamu melakukan wudlu dan membasuh kedua telapak tanganmu lalu kamu mensucikan keduanya, maka keluarlah kesalahan-kesalahan dari""";;;;;;;;;;;;;
"148,""Thoharoh"",""Barangsiapa berwudlu kemudian memperbaiki wudlunya lalu berdo'a, 'Aku bersaksi bahwa tiada Dzat yang berhak disembah selain Allah""";;;;;;;;;;;;;
"149,""Thoharoh"",""Hiasan wudlu seorang mukmin akan sampai ke tempat badan yang terkena aliran  air wudlu""";;;;;;;;;;;;;
"150,""Thoharoh"",""Assalamu'alaikum wahai penghuni negeri kaum mukmin. Kami insya Allah akan menyusul kalian""";;;;;;;;;;;;;
"151,""Thoharoh"",""Barangsiapa berwudhu dan  memperbaiki wudlunya kemudian shalat dua rakaat, menghadap kepadanya dengan hati dan wajahnya""";;;;;;;;;;;;;
"152,""Thoharoh"",""Harus wudlu'""";;;;;;;;;;;;;
"153,""Thoharoh"",""mencuci kemaluannya dan berwudlu""";;;;;;;;;;;;;
"154,""Thoharoh"",""Cukup dari yang demikian itu dengan berwudlu""";;;;;;;;;;;;;
"155,""Thoharoh"",""Hendaklah dia mencuci kemaluannya dan berwudlu""";;;;;;;;;;;;;
"156,""Thoharoh"",""Bila salah seorang dari kalian mendapatkan seperti itu, hendaklah ia memercikan kemaluannya dengan air, lalu berwudlu sebagai mana wudlu shalat""";;;;;;;;;;;;;
"157,""Thoharoh"",""Mengenai hal itu, maka ia harus wudlu""";;;;;;;;;;;;;
"158,""Thoharoh"",""maka Rasulullah Shallallahu'alaihi wasallam memerintahkan kami untuk tidak melepasnya selama tiga hari, kecuali karena junub. Akan tetapi (boleh tidak lepas) karena buang air besar""";;;;;;;;;;;;;
"159,""Thoharoh"",""memerintahkan kami untuk tidak melepas sepatu (khuf) selama tiga hari kecuali karena junub. Akan tetapi boleh kalau karena buang air besar""";;;;;;;;;;;;;
"160,""Thoharoh"",""Janganlah keluar (dari shalat) hingga ia mencium bau atau mendengar suara (kentut)""";;;;;;;;;;;;;
"161,""Thoharoh"",""Apabila salah seorang dari kalian bangun dari tidurnya, janganlah memasukkan tangannya ke bejana air""";;;;;;;;;;;;;
"162,""Thoharoh"",""Apabila seseorang mengantuk dalam shalatnya  hendaklah ia menghentikan, karena mungkin dia berdo'a untuk kecelakaan (kebinasaan) bagi dirinya sendiri""";;;;;;;;;;;;;
"163,""Thoharoh"",""Apabila salah seorang dari kalian menyentuh kemaluannya, hendaklah ia berwudlu""";;;;;;;;;;;;;
"164,""Thoharoh"",""Hendaklah berwudlu karena menyentuh kemaluan""";;;;;;;;;;;;;
"165,""Thoharoh"",""Bukankah itu hanya bagian dari dagingmu?""";;;;;;;;;;;;;
"166,""Thoharoh"",""Jika Rasulullah Shallallahu'alaihi wasallam shalat dan aku berbaring di depannya laksana mayat, apabila""";;;;;;;;;;;;;
"167,""Thoharoh"",""Kalian telah mengetahui bahwa aku berbaring di depan Rasulullah Shallallahu'alaihi wasallam""";;;;;;;;;;;;;
"168,""Thoharoh"",""Aku pernah tidur di depan Rasulullah Shallallahu'alaihi wasallam dan kedua kakiku berada di kiblatnya. Apabila sujud""";;;;;;;;;;;;;
"169,""Thoharoh"",""aku berlindung dengan ridha-Mu dari murka-Mu dan berlindung dengan sikap pemaaf-Mu dari siksa-Mu, dan berlindung dengan-Mu dari Engkau""";;;;;;;;;;;;;
"170,""Thoharoh"",""mencium sebagian istrinya, kemudian shalat tanpa berwudlu lagi. Abu  Abdurrahman  berkata";" tidak ada dalam bab ini""";;;;;;;;;;;;
"171,""Thoharoh"",""Berwudlulah kalian karena memakan sesuatu yang disentuh (dimasak dengan) api""";;;;;;;;;;;;;
"172,""Thoharoh"",""Berwudlulah kalian dari -makanan sesuatu - yang disentuh (dimasak dengan) api""";;;;;;;;;;;;;
"173,""Thoharoh"",""memerintahkan untuk berwudlu karena (memakan sesuatu yang dimasak) dengan api""";;;;;;;;;;;;;
"174,""Thoharoh"",""Berwudlulah kalian karena memakan makanan yang dimasak dengan api""";;;;;;;;;;;;;
"175,""Thoharoh"",""Berwudlulah kalian karena memakan sesuatu yang di sentuh (dimasak dengan) api""";;;;;;;;;;;;;
